Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Hungary,Operator Holding Account,Budapest Airport ZRt.,01-10-044665,2005-01-01,open,Nemzetközi Repülõtér,1185,Budapest,19520,19520,19520,19799,19799,19799,19799,19799,13063,11691,10355,9060,7804,6590,5415,4283,19953,18861,16173,15844,16208,17183,16763,15130,12855,10605,10960,10626,,,,,19953,18861,16173,15844,16208,17183,16763,15130,12855,10605,10960,10626,,,,
Hungary,Operator Holding Account,Budapesti Eromu ZRt.,01-10-041825,2005-01-01,open,Budafoki utca,1117,Budapest,387421,387421,387421,332714,332714,336120,336120,336120,169016,140795,115464,96589,83258,70358,57875,45841,397486,399814,411282,400405,325851,353064,280147,229383,200377,187235,218200,250447,,,,,397486,399814,411282,400405,325851,353064,280147,229383,200377,187235,218200,250447,,,,
Hungary,Operator Holding Account,Budapesti Eromu ZRt.,01-10-041825,2005-01-01,open,Budafoki utca,1117,Budapest,291740,291740,291740,253308,253308,253720,253720,253720,132902,108700,87230,72927,62861,53121,43696,34611,271315,286146,246806,338463,222628,227862,215976,214009,199614,189623,207504,217513,,,,,271315,,532952,338463,222628,227862,215976,214009,199614,189623,207504,217513,,,,
Hungary,Operator Holding Account,Budapesti Eromu ZRt.,01-10-041825,2005-01-01,open,Budafoki utca,1117,Budapest,300777,300777,300777,270628,270628,271069,271069,271069,148744,122797,115291,102935,90957,79355,68117,57272,297694,304721,301530,364012,304314,289080,261059,261228,244390,228257,245982,262438,,,,,297694,304721,301530,364012,304314,289080,261059,261228,244390,228257,245982,262438,,,,
Hungary,Operator Holding Account,Budapesti Eromu ZRt.,01-10-041825,2005-01-01,closed,Budafoki utca,1117,Budapest,58647,58647,58647,43446,43446,43446,43446,43446,,,,,,,,,47172,44201,24037,12380,10814,11639,7290,224,,,,,,,,,47172,44201,24037,12380,10814,11639,7290,224,,,,,,,,
Hungary,Operator Holding Account,Budapesti Eromu ZRt.,01-10-041825,2005-01-01,closed,Budafoki utca,1117,Budapest,28679,28679,28679,0,0,0,0,0,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Operator Holding Account,Budapesti Távhoszolgáltató ZRt.,01-10-042582,2005-01-01,open,Kalotaszeg utca,1116,Budapest,89838,89838,89838,77741,77741,77741,77741,77741,23671,10699,9495,8328,7198,6102,5043,4024,84407,75366,53339,27299,37164,35112,42878,23206,14808,10225,9378,10064,,,,,84407,75366,53339,27299,37164,35112,42878,23206,14808,10225,9378,10064,,,,
Hungary,Operator Holding Account,Budapesti Távhoszolgáltató ZRt.,01-10-042582,2005-01-01,closed,Kalotaszeg utca,1116,Budapest,56211,56211,56211,52819,0,0,0,0,,,,,,,,,57348,55083,24412,25,0,,,,,,,,,,,,57348,55083,24412,25,,,,,,,,,,,,
Hungary,Operator Holding Account,Budapesti Távhoszolgáltató ZRt.,01-10-042582,2005-01-01,open,Kalotaszeg utca,1116,Budapest,55317,55317,55317,39701,39701,39701,39701,39701,20845,18655,16523,14457,12454,10515,8640,6836,43105,29701,23589,24163,24388,26719,22183,20757,18786,18447,18794,16737,,,,,43105,29701,23589,24163,24388,26719,22183,20757,18786,18447,18794,16737,,,,
Hungary,Operator Holding Account,Budapesti Távhoszolgáltató ZRt.,01-10-042582,2005-01-01,open,Kalotaszeg utca,1116,Budapest,13415,13415,13415,9872,9872,9872,9872,9872,9303,8325,7374,6452,5558,4693,3856,3051,10719,13537,10654,11132,11592,12291,12258,11578,10168,9027,10600,12017,,,,,10719,13537,10654,11132,11592,12291,12258,11578,10168,9027,10600,12017,,,,
