Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,5044,5044,5044,4302,4302,4302,4302,4302,3092,0,0,0,0,0,0,0,4451,4152,3748,3644,3493,3688,3134,2906,2812,,,,,,,,,8603,3748,3644,3493,3688,3134,2906,2812,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,6781,6780,6780,6100,6100,6100,6100,6100,4361,0,0,0,0,0,0,0,6477,5853,5218,5035,4922,5034,4158,4010,4141,,,,,,,,,12330,5218,5035,4922,5034,4158,4010,4141,,,,,,,
Slovakia,Operator Holding Account,"Veolia Energia Slovensko, a. s.",35702257,2008-01-01,closed,Einsteinova 25,85101,Bratislava,7912,7912,7911,7150,7150,7150,7150,7150,5091,0,0,0,0,0,0,0,7452,6862,6015,5952,5821,5955,5199,5060,5400,,,,,,,,,14314,6015,5952,5821,5955,5199,5060,5400,,,,,,,
Slovakia,Operator Holding Account,"DNV ENERGO, a.s.",36317918,2008-01-01,closed,Areál ZTS 924,01841,Dubnica nad Váhom,147670,147670,147670,4085,4085,4085,0,0,,,,,,,,,5716,2454,25,55,48,61,,,,,,,,,,,,8170,25,55,48,61,,,,,,,,,,
Slovakia,Operator Holding Account,"DOLVAP, s.r.o.",31594786,2008-01-01,open,Priemyselná,01303,Varín,188009,188008,188008,201776,201776,201776,201776,201776,164663,161803,158910,155986,153030,150046,147025,143993,114012,133776,192850,146041,115047,131048,149210,127199,121832,124022,88215,117416,,,,,46004,201784,192850,146041,115047,131048,149210,127199,121832,124022,88215,117416,,,,
Slovakia,Operator Holding Account,"Duslo, a.s.",35826487,2008-01-01,open,"Administratívna budova, ev. č. 1236",92703,Šaľa,259054,259053,259053,117834,117834,117834,117834,117834,762555,749309,735909,722369,708684,694863,680873,666831,133671,101997,71886,85795,73855,79964,80068,78948,1093905,861598,1098236,984059,,,,,,235668,71886,85795,73855,79964,80068,78948,1093905,861598,1098236,984059,,,,
Slovakia,Operator Holding Account,Eastern Sugar Slovensko a.s.,31411878,2006-02-21,closed,Bratislavská cesta 1246/9,92912,Dunajská Streda,56589,56589,56589,,,,,,,,,,,,,,43286,42488,1740,,,Not Reported,,,,,,,,,,,,85774,1740,,,,,,,,,,,,,
Slovakia,Operator Holding Account,"STEFE Banská Bystrica, a.s.",36024473,2008-01-01,closed,Zvolenská cesta 1,97405,Banská Bystrica,4358,4358,4358,3855,3855,3855,3855,3855,,,,,,,,,3851,3858,0,99,552,0,938,34,,,,,,,,,,7709,,99,552,,938,34,,,,,,,,
Slovakia,Operator Holding Account,"TP 2, s.r.o.",36766763,2008-01-01,open,Priemyselná 720,07222,Strážske,240533,240533,240533,42921,42921,42921,42921,42921,29055,28511,14158,13860,6913,6742,6570,6401,26974,27300,25567,25969,17663,4299,2685,3702,38381,23676,22650,16628,,,,,26974,27300,25567,25969,17663,4299,2685,3702,38381,23676,22650,16628,,,,
Slovakia,Operator Holding Account,"STEFE Rimavská Sobota, s.r.o.",31585752,2008-01-01,open,Gorkého ul. č. 8a,97901,Rimavská Sobota,17270,17270,17270,15188,15188,15188,15188,15188,5023,4012,1777,1555,1339,1131,929,735,14937,13188,11726,11582,10890,11151,5958,3123,3511,1837,1409,2017,,,,,,28125,11726,11582,10890,11151,5958,3123,3511,1837,1409,2017,,,,
