Country,Account Type,Account Holder Name,Company Registration No,Permit/Plan Date,Account status,Main Address Line,Postal Code,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Romania,Operator Holding Account,OMV PETROM SA,1590082,2011-06-27,open,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,,,,0,0,0,0,0,2311487,1981275,1651062,1320850,,,,,,,,,,,0,502075,1021941,472717,976156,1069561,,,,,,,,,,,,502075,1021941,472717,976156,1069561,,,,
Romania,Operator Holding Account,OMV PETROM SA,1590082,2010-12-30,open,"Strada Coralilor nr. 22, Sector 1",013329,Bucuresti,,,,0,0,0,0,0,35223,34611,33992,33367,32735,32096,31450,30801,,,,,,,51449,57002,50918,55302,60648,65171,,,,,,,,,,,51449,57002,50918,55302,60648,65171,,,,
Romania,Operator Holding Account,R.A.D.E.T. BUCURESTI,RO361218,2008-04-18,open,"Str. Cavafi Vechi nr.15, sect. 3",30254,Bucuresti,0,0,34383,30261,30261,30261,30261,30260,39023,34922,30933,27064,23314,19687,16176,12797,,,29283,36140,33516,61163,54624,45479,48929,46759,42763,39590,,,,,,,29283,36140,33516,61163,54624,45479,48929,46759,42763,39590,,,,
Romania,Operator Holding Account,R.A.A.N. Sucursala ROMAG TERMO,12623789,2008-04-18,open,"sat HALANGA,com IZVORUL BARZII,jud MEHEDINTI",227297,"sat HALANGA,com IZVORUL BARZII,jud MEHEDINTI",0,0,2600112,2638285,2638285,2638284,2638284,2680437,433177,380472,330698,147877,64051,0,0,0,,,3310489,3293554,1783173,1796517,2050777,1850569,1754505,1651905,978674,261038,,,,,,,3310489,3293544,1783183,1796517,2050777,1850569,1754505,330698,147877,64051,,,,
Romania,Operator Holding Account,Regia Autonoma de Termoficare Cluj Napoca,RO201330,2008-04-18,open,Bd. 21 Decembrie 1989 nr. 79,400394,Cluj,0,0,21650,18899,18899,18898,18898,18898,0,0,0,0,0,0,0,0,,,19205,17723,15178,12873,6757,781,0,0,0,Excluded,,,,,,,19205,17723,15178,12873,6757,781,,,,,,,,
Romania,Operator Holding Account,S.C ECOGEN ENERGY S.A.,J10/191/11.02.2008,2008-04-18,open,"Buzau, Aleea Industriei nr. 7",120224,Buzau,0,0,62517,54980,54979,54979,54979,54979,,,,,,,,,,,53070,45650,44132,22664,0,0,Excluded,Excluded,Excluded,Excluded,,,,,,,53070,45650,44132,22664,,,,,,,,,,
Romania,Operator Holding Account,SC TERMICA BRAD SA,RO27396250,2008-02-18,open,"Brad, str. Libertatii, nr. 8",337200,Hunedoara,0,0,17382,15413,15412,15412,15412,15412,9420,8430,7468,6537,5634,4761,3917,3102,,,14653,12988,13951,11432,7373,10003,7223,8814,9461,9738,,,,,,,14653,12988,13951,11432,7373,10003,7223,8814,9461,9738,,,,
Romania,Operator Holding Account,SC AEROSTAR SA BACAU,950531,2008-04-18,open,"Str. Condorilor, nr.9",600302,Bacau,0,0,5569,5200,5200,5200,5200,5199,5027,4940,4852,4762,4673,4581,4489,4396,,,5747,4540,4015,4642,5365,6069,3924,2848,2636,2937,,,,,,,5747,,8555,4642,5365,6069,,6772,2636,2937,,,,
Romania,Operator Holding Account,SC AGRANA ROMANIA SA - SUCURSALA BUZAU,RO 2083754,2008-04-18,open,"Aleea Industriei, 7",120068,Buzau,0,0,76578,65309,65309,65308,65308,65308,23702,23290,22874,22452,11779,11549,11316,11083,,,26587,19577,12860,12752,34744,39791,29024,25366,32611,17464,,,,,,,26587,19577,12860,12752,34744,39791,29024,25366,32611,17464,,,,
Romania,Operator Holding Account,SC AGRANA ROMANIA SA - SUCURSALA ROMAN,RO 2083754,2008-04-18,open,"str. Energiei, nr. 6",611047,Roman,0,0,125693,109674,109674,109674,109673,109673,29730,29213,28691,28163,27630,27090,26546,25998,,,39130,35948,27542,33224,27076,35552,32165,41843,37215,32038,,,,,,,39130,35948,27542,33224,27076,35552,32165,41843,37215,32038,,,,
