Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Estonia,Operator Holding Account,OÜ Utilitas Tallinna Elektrijaam,Tooma tn 14/Väomurru tn 1,Tallinn,,,,0,100660,100660,598831,266717,76216,68206,60423,52887,45587,38524,31689,25100,,,,Not Reported,12346,23289,26253,24886,25302,24904,21514,26209,,,,,,,,,12346,23289,26253,24886,25302,24904,21514,26209,,,,
Estonia,Operator Holding Account,OÜ Utilitas Tallinna Elektrijaam,Tooma tn 14/Väomurru tn 1,Tallinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,,,,,,,,,,,,,,,,827,,,,
Estonia,Operator Holding Account,OÜ VKG Energia,OÜ VKG Energia,Kohtla-Järve,214950,228379,242702,254208,254208,254208,871023,573726,373460,358635,344829,332013,320143,309176,299124,291232,133570,259608,303513,291602,270563,301166,446909,472759,489293,527049,497923,451341,,,,,133570,259608,303513,296288,257051,309992,446909,472759,489293,527049,497923,451341,,,,
Estonia,Operator Holding Account,OÜ VKG Energia (end Fortum),OÜ VKG Energia,Kohtla-Järve,201039,214408,228666,96418,96418,96418,0,0,,,,,,,,,206823,161373,164662,165873,152679,151820,Not Reported,Not Reported,,,,,,,,,206823,161373,164662,165873,26963,277536,,,,,,,,,,
Estonia,Operator Holding Account,POLVA SOOJUS AS,J. Käisi 11,Põlva,,,,0,0,0,18356,9178,6668,5967,5286,4627,3989,3371,2773,2196,,,,,,,8006,7400,7002,4115,1234,2254,,,,,,,,,,,8006,7400,7002,4115,1234,2254,,,,
Estonia,Operator Holding Account,REPO VABRIKUD AS,Repo Vabrikud AS,Püssi,20641,21260,21898,17682,17682,17682,17682,17682,,,,,,,,,15464,17682,361,0,0,0,10795,12312,Not Reported,Not Reported,Not Reported,,,,,,15464,17682,361,,,,10795,12312,,,,,,,,
Estonia,Operator Holding Account,SAAREMAA PIIMATOOSTUS AS,Saaremaa Piimatööstus AS,Kuressaare,13699,14110,14533,7070,7070,7070,4648,5859,,,,,,,,,9129,7070,6657,6383,3146,2771,2353,2574,Not Reported,Not Reported,Not Reported,,,,,,9129,,13727,6383,3146,2771,2353,2574,,,,,,,,
Estonia,Operator Holding Account,SAINT-GOBAIN EHITUSTOOTED AS,Saint-Gobain Ehitustooted AS,Tallinn,48680,51601,103202,50976,50976,50976,6484,28730,,,,,,,,,46689,50976,42273,32439,0,0,0,0,Not Reported,Not Reported,,,,,,,46689,50976,42273,32439,,,,,,,,,,,,
Estonia,Operator Holding Account,SANGLA TURVAS AS,Sangla Turvas AS,Tartumaa,55547,55547,55547,30087,30087,30087,30087,30087,,,,,,,,,19591,30087,29844,12966,988,0,0,0,Not Reported,Not Reported,Not Reported,,,,,,19591,30087,29844,12966,988,,,,,,,,,,,
Estonia,Operator Holding Account,SILPOWER AS,Kesk 4,Sillamäe,214722,245715,249697,131173,131173,131173,128789,129981,52038,45580,39810,34712,30250,27725,25424,23194,148427,132533,132988,126723,116627,122588,131826,145746,137792,99752,100619,85910,,,,,148427,132533,132988,126723,116627,122588,131827,145746,137792,99752,100619,85910,,,,
