Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Belgium,Operator Holding Account,"SPA MONOPOLE, COMPAGNIE FERMIERE DE SPA",Rue Auguste Laporte 34,spa,10702,10702,10702,9231,12929,12929,12930,12930,6196,5545,4912,0,0,0,0,0,7678,7238,6189,6812,10546,11333,9921,9743,10062,9587,8964,,,,,,7678,7238,6189,6813,10546,11333,9921,9743,10062,9587,8964,,,,,
Belgium,Operator Holding Account,SPANOLUX,Rue de la Forêt 2,Vielsalm,37906,37907,37907,28918,28918,28918,28919,28919,91807,90212,58218,50937,43881,37052,30445,24085,22102,21557,22975,17698,10673,7403,6275,6821,6232,6946,7055,7183,,,,,22102,21557,22975,17698,10673,7403,6275,6821,6232,6946,7055,7183,,,,
Belgium,Operator Holding Account,Statoil Belgium,"Barlenhuisstraat 1, kaai 524",Zeebrugge,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Operator Holding Account,Steenbakkerij Vande Moortel,Scheldekant 5,Oudenaarde,29082,29082,29081,42380,42380,42380,42380,42380,23445,23038,22626,22209,21789,21364,20935,20503,23603,23377,32723,27694,24023,23739,25201,26222,23343,27759,29764,30764,,,,,23603,23377,32723,27694,24023,23739,25201,26222,23343,27759,29764,30764,,,,
Belgium,Operator Holding Account,STEINZEUG - KERAMO,Paalsteenstraat 36,Hasselt,30076,30076,30077,28336,28336,28336,28336,28335,17407,17104,8434,16489,16177,15861,15542,15222,18434,28119,21295,17675,9881,8866,8228,11738,9053,7513,14433,11938,,,,,18434,28119,21295,17675,9881,8866,8228,11738,9053,7513,14433,11938,,,,
Belgium,Operator Holding Account,Stemtex,Rue Slar 49,Stembert,10000,10000,10000,,,,,,,,,,,,,,1036,432,0,,,,,,,,,,,,,,1036,432,,,,,,,,,,,,,,
Belgium,Operator Holding Account,STORA ENSO LANGERBRUGGE,Wondelgemkaai 200,Gent,51817,51817,298075,78184,78184,78184,395218,262288,164135,161285,158400,155486,152540,149565,146554,143531,30613,36703,30244,50323,43082,120201,132896,107614,100854,117126,109735,108786,,,,,30613,36703,30244,50323,43082,120201,132896,107614,100854,117126,109735,108786,,,,
Belgium,Operator Holding Account,STRUIK FOODS BELGIUM,Brechtsebaan 913,Schoten,,,,0,0,0,0,17494,3792,3393,3006,2630,2266,1913,1572,1243,,,,,2853,5693,5477,6288,6466,5996,6377,6020,,,,,,,,,2853,5693,5477,6288,6466,5996,6377,6020,,,,
Belgium,Operator Holding Account,STRUIK FOODS BELGIUM,Brechtsebaan 913,Schoten,,,,,,,,,,,,,,,,,4951,,,,,,,,,,,,,,,,4951,,,,,,,,,,,,,,,
Belgium,Operator Holding Account,T-POWER,Gulledelle 96,Sint-Lambrechts-Woluwe (Brussel),,,,0,0,0,0,1613855,0,0,0,0,0,0,0,0,,,,,,165,389640,186520,157624,514236,792483,919897,,,,,,,,,,165,389640,186520,157624,514236,792483,919897,,,,
Belgium,Operator Holding Account,TAMINCO,Pantserschipstraat 207,Gent,44121,44121,44122,87592,87592,87592,87592,87593,48516,47674,46821,45959,45088,44210,43320,42426,34807,41112,43992,41339,24865,11020,8571,12478,12705,13408,14694,14570,,,,,34807,41112,43992,41339,24865,11020,8571,12478,12705,13408,14694,14570,,,,
Belgium,Operator Holding Account,Techspace Aéro,Route de Liers  121,Milmort,4233,4234,4234,,,,,,,,,,,,,,4019,4285,4498,,,,,,,,,,,,,,4019,4285,4498,,,,,,,,,,,,,
Belgium,Operator Holding Account,TECOMA,Spiegellaan 39,Merchtem,,,,0,0,0,0,47362,0,0,0,0,0,0,0,0,,,,,,,19500,36611,37023,34647,36903,45806,,,,,,,,,,,19500,36611,37023,34647,36903,45806,,,,
Belgium,Operator Holding Account,TEREOS STARCH & SWEETENERS BELGIUM,Burchtstraat 10,Aalst,215697,215697,215697,236084,236084,236084,236085,236085,120027,117938,115850,113762,111673,109585,107496,105407,211430,202924,193978,207152,197975,195471,175496,196031,195235,182174,185427,188468,,,,,211430,202924,193978,207152,197975,195471,175496,196031,195235,182174,185427,188468,,,,
Belgium,Operator Holding Account,TESSENDERLO GROUP NV,Troonstraat 130,Elsene (Brussel),,,,151935,151935,151935,151934,151934,161091,158293,56957,55908,54848,53779,52697,51611,,,,131874,65961,127788,141928,120548,173060,80169,87918,94140,,,,,,,,131874,65961,127788,141928,120548,173060,80169,87918,94140,,,,
Belgium,Operator Holding Account,TESSENDERLO GROUP NV,Troonstraat 130,Elsene (Brussel),44253,44253,44252,48830,48830,48830,48829,48829,29297,28788,28273,27753,27228,26697,26159,25620,39905,38293,35313,35073,35476,36424,35187,35247,28578,26629,28519,28467,,,,,39905,38293,35313,35073,35476,36424,35187,35247,28578,26629,28519,28467,,,,
Belgium,Operator Holding Account,BRUSSELS AIRPORT COMPANY,Auguste Reyerslaan 80,Schaarbeek,,,,26359,26359,26359,26359,26359,,,,,,,,,,,,19938,19377,22668,17081,18081,Excluded,,,,,,,,,,,19938,19377,22668,17081,18081,,,,,,,,
Belgium,Aircraft Operator Account,TNT Airways,Rue de l'Aéroport 101,Grâce-Hollogne,,,,,,,,575833,110679,110679,110679,110679,110679,110679,110679,110679,,,,,,,,641252,268863,267219,283467,311575,,,,,,,,,,,,641252,,536082,283467,311575,,,,
Belgium,Operator Holding Account,TOTAL OLEFINS ANTWERP,Scheldelaan 10,Antwerpen,320274,320274,320273,1300862,1300862,1300862,1300862,1300862,946812,930367,590317,579455,568476,557392,546168,534905,262228,242313,250017,1056457,925773,1021749,1150370,958768,860490,882099,859042,700659,,,,,262228,242313,250017,1056457,925773,1021749,1150370,958768,860490,882099,859042,700659,,,,
Belgium,Operator Holding Account,TOTAL PETROCHEMICALS ELASTOMERS,Nijverheidsstraat 52,Brussel,124086,124086,124087,,,,,,,,,,,,,,123930,85339,46926,,,,,,,,,,,,,,123930,85339,46926,,,,,,,,,,,,,
Belgium,Operator Holding Account,TOTAL PETROCHEMICALS FELUY,Zoning Industriel Zone C,Feluy (Seneffe),98724,98725,98725,90357,90357,90357,112740,139971,130786,128515,126217,123895,121546,119177,116777,114369,88842,87966,87374,83117,90198,92059,109269,115388,165280,158026,168856,164019,,,,,88842,87966,87374,83117,90198,92059,109269,115388,165280,158026,168856,164019,,,,
Belgium,Operator Holding Account,TOTAL POLYMERS ANTWERP,Scheldelaan 4,Antwerpen,30738,31286,31286,38760,38760,38760,38759,38759,45091,44308,43515,42714,41905,41087,40260,39430,2065,3922,0,33281,31149,30442,26374,23749,30201,28637,28946,28482,,,,,2065,3922,,33281,31149,30442,26374,23749,30201,28637,28946,28482,,,,
Belgium,Operator Holding Account,TOTAL RAFFINADERIJ ANTWERPEN,Scheldelaan 16,Antwerpen,3971863,3971863,3971863,3921430,3921430,3921430,3921430,3921430,2974932,2923259,2870980,2818155,2764762,2710850,2656263,2601489,3088102,3334682,3285446,4021016,3776763,3985956,3261352,3566142,3645538,3621037,3780955,3719356,,,,,3088102,3334682,3354553,4021016,3776763,3985956,3261352,3566142,3645538,3621037,3780955,3719356,,,,
Belgium,Operator Holding Account,TRINSEO BELGIUM,Havenlaan 7,Tessenderlo,,,,,,,,,9234,9074,8911,8747,8582,8414,8245,8075,,,,,,,,,8996,8701,6779,6639,,,,,,,,,,,,,8996,8701,6779,6639,,,,
Belgium,Aircraft Operator Account,TUI AIRLINES BELGIUM,Nationale Luchthaven van Brussel 40P,ZAVENTEM,,,,,,,,410201,97982,97982,97982,97982,97982,97982,97982,97982,,,,,,,,214059,156570,176971,192372,263053,,,,,,,,,,,,214059,,333541,192372,263053,,,,
Belgium,Operator Holding Account,UCB Pharma,Allée de la Recherche 60,Anderlecht,12568,12567,12567,14346,14347,14347,14347,14347,15032,14771,14506,14240,13970,13697,13422,13145,12675,10499,10247,10835,10229,11411,9960,9618,11534,10660,10511,10552,,,,,12675,10499,10248,10835,10229,11411,9960,9618,11534,10661,10511,10552,,,,
Belgium,Operator Holding Account,UCO Sportswear International,Maisstraat 142,Gent,9451,9451,9451,8900,8900,0,0,0,,,,,,,,,7881,7863,7619,5344,69,,,,,,,,,,,,7881,7863,7619,5344,69,,,,,,,,,,,
Belgium,Operator Holding Account,Umicore,Broekstraat 31,Brussel,32621,32621,32621,206864,206864,206864,206864,206864,177826,174737,171612,168454,165263,162041,158778,155503,36776,36876,30571,162278,149399,136775,145169,137196,199572,195026,198613,204522,,,,,36776,36876,30571,162278,149399,136775,145169,137196,199572,199572,194067,204522,,,,
Belgium,Operator Holding Account,Umicore,Broekstraat 31,Brussel,111032,111032,111031,148970,148970,148970,148970,148971,39757,39066,38367,37661,36949,36227,35498,34766,109905,94121,94154,116525,112405,78027,74366,75950,77824,70212,75363,74386,,,,,109905,94121,94154,116525,112405,78027,74366,75950,77824,70212,75363,74386,,,,
Belgium,Operator Holding Account,UNILIN,Ooigemstraat 3,Wielsbeke (Ooigem),32390,32390,32390,29053,29053,29053,29053,29052,27710,27228,17572,15374,13244,11183,9188,7269,32223,29947,30582,23655,11187,10566,10804,9108,8256,9842,10627,11577,,,,,32223,29947,30582,23655,11187,10566,10804,9108,8526,9572,10627,11577,,,,
Belgium,Operator Holding Account,UNILIN,Ooigemstraat 3,Wielsbeke (Ooigem),,,,39680,39680,39680,39681,39681,50049,49179,31737,27768,23922,20198,16598,13130,,,,32217,30148,38706,31028,23832,22508,23461,23879,26737,,,,,,,,32217,30148,38706,31028,23832,22508,23461,23879,26737,,,,
Belgium,Operator Holding Account,UNILIN,Ooigemstraat 3,Wielsbeke (Ooigem),,,,18335,18335,18335,18335,18336,36937,36295,23422,12598,0,0,0,0,,,,11688,8733,12158,8544,8460,6717,5821,5728,0,,,,,,,,11688,8733,12158,8544,8460,6717,5821,5728,,,,,
Belgium,Operator Holding Account,UNILIN,Ooigemstraat 3,Wielsbeke (Ooigem),1300,1300,1299,6236,6236,6236,6236,6237,11641,11438,7382,6458,5564,4698,3861,3053,1554,1629,985,3718,3216,3125,2833,3739,5402,6428,6181,7042,,,,,1554,1629,985,3718,3216,3125,2833,3739,5402,6428,6181,7042,,,,
Belgium,Operator Holding Account,UNIVERSITAIR ZIEKENHUIS GENT,De Pintelaan 185,Gent,,,,14202,14202,14202,14202,14202,7461,6676,2957,2587,2229,1882,1547,1224,,,,4591,4381,4758,3597,3454,7542,3194,3787,3229,,,,,,,,4591,4381,4758,3597,3454,7542,3194,3787,3229,,,,
Belgium,Operator Holding Account,UNIVERSITE DE LIEGE - COMMUNAUTE FRANCAISE,Place du Vingt-Août 7,Liège,14661,14660,14660,15740,15740,15740,15740,15741,11003,9847,8722,7631,6574,5551,4561,3608,14722,14978,13671,14540,14267,16278,12468,11103,14281,5930,6808,6724,,,,,14722,14978,13671,14540,14267,16278,12468,11103,14281,5930,6808,6724,,,,
Belgium,Operator Holding Account,URSA BENELUX,Pitantiestraat 127,Waregem,14019,14019,14019,14019,14019,14019,14019,14019,9248,9087,8925,8761,8595,8427,8257,8087,14700,14655,15584,15063,18890,13831,12496,13613,12034,12251,10130,13977,,,,,14700,14655,15584,15063,18890,13831,12496,13613,12034,12251,10130,13977,,,,
Belgium,Operator Holding Account,UTEXBEL,César Snoecklaan 30,Ronse,10196,10196,10195,13891,13891,13891,13892,13892,10861,10673,10481,10289,10094,9897,9698,9498,8830,8392,8280,10433,8566,10085,10447,9559,8946,9262,9998,9919,,,,,8830,8392,8280,10433,8566,10085,10447,9559,8946,9262,9998,9919,,,,
Belgium,Operator Holding Account,UZ Leuven,Herestraat 49,Leuven,,,,15425,15425,15425,15425,15425,8259,7392,6547,5728,4935,4167,3423,2708,,,,10508,10585,11773,10476,11722,13204,11583,11839,12837,,,,,,,,10508,10585,11773,10476,11722,13204,11583,11893,12837,,,,
Belgium,Operator Holding Account,UZ Leuven,Herestraat 49,Leuven,,,,,,,,,3634,3252,2881,0,0,0,0,0,,,,,,,,,4873,3971,4494,,,,,,,,,,,,,,4873,3971,4494,,,,,
Belgium,Operator Holding Account,Van Hool,Bernard Van Hoolstraat 58,Lier,3299,3299,3300,,,,,,,,,,,,,,2856,3054,2738,,,,,,,,,,,,,,2856,3054,2738,,,,,,,,,,,,,
Belgium,Operator Holding Account,VANDERSANDEN STEENFABRIEKEN,Riemsterweg 300,BILZEN,35069,35069,35068,36511,36511,36511,36511,36511,23026,22626,22221,21813,21399,20982,20559,20136,30330,32310,31479,29274,27355,21842,26620,24808,20859,26308,27569,27808,,,,,30330,32310,31479,29274,27355,21842,26620,24808,20859,26308,27569,27808,,,,
Belgium,Operator Holding Account,VANDERSANDEN STEENFABRIEKEN,Riemsterweg 300,BILZEN,4990,4990,4990,4726,4726,4726,4725,4725,,,,,,,,,4633,4320,4614,4226,2708,2964,2641,0,,,,,,,,,4633,4320,4614,4226,2708,2964,2641,,,,,,,,,
Belgium,Operator Holding Account,VANDERSANDEN STEENFABRIEKEN,Riemsterweg 300,BILZEN,39857,39857,39856,40499,40499,40499,40499,40500,27867,27383,26893,26398,25898,25393,24882,24369,33069,34110,31965,31325,28889,27668,29145,27714,26094,29010,31755,29572,,,,,33069,34110,31965,31325,28889,27668,29145,27714,26094,29010,31755,29572,,,,
Belgium,Operator Holding Account,VBG,Dellestraat 25,Heusden-Zolder,,,,,,,,,4824,4317,3824,3346,2883,2434,2000,1582,,,,,,,,,5040,5418,4864,3711,,,,,,,,,,,,,5040,5418,4864,3711,,,,
Belgium,Operator Holding Account,VEOLIA,Quai Fernand Demets 52,Bruxelles,19480,19481,19481,17044,17044,17044,17044,17045,2355,2108,1868,1634,1409,1191,979,775,13353,17467,19310,15944,14643,6607,10288,10063,9981,9309,8011,8410,,,,,13353,17467,27622,15944,14643,6607,10288,10063,9981,9309,8011,8410,,,,
Belgium,Operator Holding Account,VEOLIA,Quai Fernand Demets 52,Bruxelles,6172,6173,6173,6078,6078,6079,6079,6079,9568,8562,7584,6635,5716,4827,3966,3138,6618,4477,3242,5012,5581,10390,5520,6804,7226,4684,5846,5884,,,,,6618,4477,3242,5012,5581,10390,5520,6804,7726,4184,5846,5884,,,,
Belgium,Operator Holding Account,VEURNE SNACKFOODS,Albert I laan 33,Veurne,13914,13914,13914,23670,25537,26062,26529,27067,15444,13821,12241,10710,9227,7791,6401,5064,17829,19331,20151,21085,20891,22575,21610,21641,22242,21590,22229,22898,,,,,17829,19331,20151,21085,20891,22575,21610,21641,22242,21590,22229,22898,,,,
Belgium,Operator Holding Account,VFT Belgium,Vredekaai 18,Zelzate,33362,33362,33363,,,,,,,,,,,,,,29243,30432,29987,,,,,,,,,,,,,,29243,30432,29987,,,,,,,,,,,,,
Belgium,Operator Holding Account,VIABUILD BETON EN ASFALT,Leuvensesteenweg 300,Boortmeerbeek,,,,,,,,,2431,2176,1927,1686,1453,1227,1008,797,,,,,,,,,2743,3873,3139,2447,,,,,,,,,,,,,2743,3873,3139,2447,,,,
