Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Czech Republic,Aircraft Operator Account,Hyundai Motor Company,"Yangjae-dong, 12, Heolleung-ro",Seoul,,,,,,,,,,,,,,,,,,,,,,,,31,Excluded,Excluded,Excluded,Excluded,,,,,,,,,,,,,31,,,,,,,
Czech Republic,Operator Holding Account,"HYUNDAI MOTOR MANUFACTURING CZECH, S.R. O.","Průmyslová zóna Nošovice, Hyundai 700/1",Nižní Lhoty,,,,,,,,,38926,34838,46959,46095,45221,44339,43446,42551,,,,,,,,,36574,32917,37905,39716,,,,,,,,,,,,,36574,32917,37905,39716,,,,
Czech Republic,Aircraft Operator Account,INCLEDON ENTERPRISES LIMITED,2-4 Arch. Makarios III Ave,Nicosia,,,,,,,,23,,,,,,,,,,,,,,,,653,,,,,,,,,,,,,,,,653,,,,,,,,
Czech Republic,Operator Holding Account,"INNOGY ENERGO, S.R.O.",Limuzská 3135/12,Praha 10 - Strašnice,132523,132523,132523,128404,128404,128404,128404,128404,43283,36845,30965,25638,20836,16653,13698,10850,123841,129723,131868,127529,124108,123032,128622,123986,98607,83247,69808,75780,,,,,,253564,131868,127529,124108,123032,128622,123986,98607,83247,69808,75780,,,,
Czech Republic,Operator Holding Account,"INNOGY ENERGO, S.R.O.",Limuzská 3135/12,Praha 10 - Strašnice,23875,23875,23875,6855,6855,6855,6855,6855,3795,3397,3009,2633,2267,1915,1573,1245,6721,6092,3673,2668,2641,2739,1675,3454,4537,6137,7385,11368,,,,,,12813,3673,2668,2641,2739,1675,3454,4537,6137,7385,11368,,,,
Czech Republic,Operator Holding Account,"INNOGY GAS STORAGE, S.R.O.",Limuzská 3135/12,Praha 10 - Strašnice,,,,0,0,0,262,13295,509,87,39,68,59,49,41,32,,,,,,,262,9108,7527,5440,10962,10626,,,,,,,,,,,262,9108,7527,5440,10962,10626,,,,
Czech Republic,Operator Holding Account,"INNOGY GAS STORAGE, S.R.O.",Limuzská 3135/12,Praha 10 - Strašnice,2540,2540,2540,2772,2772,2772,2772,2772,1655,650,1311,1147,988,835,686,543,2198,2772,1524,2156,2677,2581,3653,2390,834,2870,3475,4716,,,,,,4970,1524,2156,2677,2581,3653,2390,834,2870,3475,4716,,,,
Czech Republic,Operator Holding Account,"IROMEZ, S.R.O.",Pod Náspem 2005,Pelhřimov,16736,16736,16736,884,884,884,884,884,9287,8311,7363,6444,5555,4695,3862,3059,884,264,32,150,29,32,56,107,108,336,317,214,,,,,,1148,32,150,29,32,56,107,108,336,317,214,,,,
Czech Republic,Operator Holding Account,"IROMEZ, S.R.O.",Pod Náspem 2005,Pelhřimov,13015,13015,13015,6229,6229,6229,6229,6229,2970,1483,272,94,43,0,0,0,6229,4135,5029,2886,2807,2577,2062,2834,1733,316,325,127,,,,,,10364,5029,2886,2807,2577,2062,2834,1733,316,325,127,,,,
Czech Republic,Operator Holding Account,"IVECO CZECH REPUBLIC, A. S.",Dobrovského 74/II.,Vysoké Mýto,15810,15810,15810,13465,13465,13465,13465,13465,7608,6810,9177,9009,8839,8666,8491,8317,11966,13203,14583,15742,14146,14277,12676,12063,17243,16407,17026,17965,,,,,,25169,14583,15742,14146,14277,12676,12063,17243,16407,17026,17965,,,,
Czech Republic,Operator Holding Account,"JABLONECKA ENERGETICKA, A.S.",Liberecká 4191/120,Jablonec nad Nisou,58524,58524,58524,41244,41244,41244,41244,41244,26350,21800,17730,14716,6339,5352,4398,3480,42768,34323,30046,38520,29945,29242,23533,23052,22128,19471,21977,11369,,,,,,77091,30046,38520,29945,29242,23533,23052,22128,19471,21977,11369,,,,
Czech Republic,Operator Holding Account,"JABLONECKA ENERGETICKA, A.S.",Liberecká 4191/120,Jablonec nad Nisou,26639,26639,26639,30900,30900,30900,30900,30900,20654,17062,7347,0,0,0,0,0,28346,29411,27872,25347,30148,16705,14671,14647,13501,6641,0,,,,,,1707,56050,27872,25347,30148,16705,14671,14647,13501,6641,,,,,,
Czech Republic,Operator Holding Account,Jan Fiala - cihelna Štěrboholy,Nedokončená 163,"Praha 15, Štěrboholy",3492,3492,3492,2710,2710,2710,2710,2710,2833,2784,2734,1342,1317,1291,1265,1239,2813,2253,2637,1645,2656,2743,2562,1547,1819,1422,851,1223,,,,,,5066,2637,1645,2656,2743,2562,1547,1819,1422,851,1223,,,,
Czech Republic,Operator Holding Account,"JIHLAVAN, A.S.",Znojemská 64,Jihlava,1659,1659,1659,,,,,,,,,,,,,,1206,0,,,Not Reported,Not Reported,,,,,,,,,,,,1206,,,,,,,,,,,,,,
Czech Republic,Operator Holding Account,"JIHLAVSKE KOTELNY, S.R.O.",Havlíčkova 111,Jihlava,9840,9840,9840,9269,9269,9269,9269,9269,6167,5519,4889,4278,0,0,0,0,9046,8279,7557,7379,6842,6341,5116,4872,4252,4003,4057,2531,,,,,,17325,7557,7379,6842,6341,5116,4872,4252,4003,4057,2531,,,,
Czech Republic,Operator Holding Account,"JIP - PAPIRNY VETRNI, A. S.",Papírenská čp. 2,Větřní,86489,86489,86489,46471,46471,46471,46471,46471,23916,5875,11540,11328,11113,10897,10677,10457,43839,43023,41078,41069,41573,27841,15210,15287,5508,11489,11371,1752,,,,,,86862,41078,41069,41573,27841,15210,,20795,11489,11371,1752,,,,
Czech Republic,Operator Holding Account,"KAREL HOLOUBEK - TRADE GROUP, A.S.",Vodičkova 20,Praha 1,18125,18125,18125,6188,6188,6188,6188,6188,3746,3353,2970,2600,2240,0,0,0,6188,4606,5077,4774,5140,4022,4467,3146,4011,3624,4044,3116,,,,,,10794,5077,4774,5140,4022,4468,3147,4011,3624,4044,3116,,,,
Czech Republic,Operator Holding Account,"KASTL INVEST, S.R.O.",Vítkovická 3083/1,"Ostrava, Moravská Ostrava",41973,41973,41973,36459,36459,36459,36459,36459,,,,,,,,,36459,28981,36287,28862,939,468,0,0,,,,,,,,,,65440,36287,28862,939,468,,,,,,,,,,
Czech Republic,Operator Holding Account,"KAVALIER TEC, S.R.O.",Křížová 1018/6,Praha 5 - Smíchov,55000,55000,55000,43405,43405,43405,43405,43405,254,456,202,177,0,0,0,0,40286,40845,40738,34328,3445,3795,2560,0,337,248,285,39,,,,,,81131,40738,34328,3445,3795,2560,,337,248,285,39,,,,
Czech Republic,Operator Holding Account,"KAVALIERGLASS, A.S.",Křížová 1018/6,Praha 5 - Smíchov,21233,21233,21233,19530,19530,19530,19530,19530,17611,17304,16996,16684,16367,16048,15724,15400,17965,18539,19962,18765,13064,13552,13086,12418,12404,16834,16880,19500,,,,,,36504,19962,18765,13064,13552,13086,12418,12404,16834,16880,19500,,,,
Czech Republic,Operator Holding Account,"KERAMOST, A.S.",Žatecká 1899/25,Most,920,920,920,498,0,0,0,0,,,,,,,,,498,88,160,0,Not Reported,Not Reported,,,,,,,,,,,,586,160,,,,,,,,,,,,,
Czech Republic,Operator Holding Account,"KG ENERGO, S.R.O.",Bělehradská 55/15,Praha 4,36524,36524,36524,37892,37892,37892,37892,37892,15364,13219,11238,9421,0,0,0,0,36042,34785,33726,31444,29931,28208,28762,30311,29109,24231,23858,2802,,,,,,70827,33800,31444,29931,28208,28762,30311,29109,24231,23858,2802,,,,
Czech Republic,Operator Holding Account,"KLATOVSKA TEPLARNA, A.S.",Jateční 660,Klatovy II,31000,31000,31000,27828,27828,27828,27828,27828,10644,9534,8796,7810,6856,5931,5035,4170,27543,24472,22797,23892,21984,21214,18663,17983,16675,16331,17807,16897,,,,,,52015,22797,23892,21984,21214,18663,17983,16675,16331,17807,16897,,,,
Czech Republic,Operator Holding Account,"KLIMA, A.S.",Krumlovská 38,Prachatice,5618,5618,5618,4023,4023,4023,4023,4023,,,,,,,,,4007,3512,3273,2881,2563,2396,1943,370,,,,,,,,,,7519,3273,2881,2563,2396,1943,370,,,,,,,,
Czech Republic,Operator Holding Account,"KNAUF INSULATION, S.R.O.",Bucharova 2641/14,Praha 5,,,,35000,35000,35000,35000,35000,19755,19412,19064,18714,18359,18001,17639,17275,,18365,26660,22176,19955,20167,21363,22286,20628,19675,20769,20347,,,,,,18365,26660,22176,19955,20167,21363,22286,20628,19675,20769,20347,,,,
