Country,Account Type,Account Holder Name,Main Address Line,City,Allowance In Allocation In 2005,Allowance In Allocation In 2006,Allowance In Allocation In 2007,Allowance In Allocation In 2008,Allowance In Allocation In 2009,Allowance In Allocation In 2010,Allowance In Allocation In 2011,Allowance In Allocation In 2012,Allowance In Allocation In 2013,Allowance In Allocation In 2014,Allowance In Allocation In 2015,Allowance In Allocation In 2016,Allowance In Allocation In 2017,Allowance In Allocation In 2018,Allowance In Allocation In 2019,Allowance In Allocation In 2020,Verified Emissions In 2005,Verified Emissions In 2006,Verified Emissions In 2007,Verified Emissions In 2008,Verified Emissions In 2009,Verified Emissions In 2010,Verified Emissions In 2011,Verified Emissions In 2012,Verified Emissions In 2013,Verified Emissions In 2014,Verified Emissions In 2015,Verified Emissions In 2016,Verified Emissions In 2017,Verified Emissions In 2018,Verified Emissions In 2019,Verified Emissions In 2020,Units Surrendered In 2005,Units Surrendered In 2006,Units Surrendered In 2007,Units Surrendered In 2008,Units Surrendered In 2009,Units Surrendered In 2010,Units Surrendered In 2011,Units Surrendered In 2012,Units Surrendered In 2013,Units Surrendered In 2014,Units Surrendered In 2015,Units Surrendered In 2016,Units Surrendered In 2017,Units Surrendered In 2018,Units Surrendered In 2019,Units Surrendered In 2020
Bulgaria,Operator Holding Account,Budeshte Butovo AD,village Butovo,Veliko Tarnovo,,,,8557,8722,7517,7517,7837,2311,2271,4461,4379,2148,2106,2064,2021,,,,8557,6884,3738,2123,1947,3446,4446,3565,2538,,,,,,,,,15441,3738,2123,1947,3446,4446,3565,2538,,,,
Bulgaria,Aircraft Operator Account,BULGARIA AIR AD,bul. Brussels 1,Sofia,,,,,,,,126175,80473,80473,80473,80473,80473,80473,80473,80473,,,,,,,,188181,132435,136545,145513,146784,,,,,,,,,,,,188181,,264945,149548,146784,,,,
Bulgaria,Aircraft Operator Account,Bulgarian Air Charter LTD,str.Pavel Krassov 35,Sofia,,,,,,,,36563,27529,27529,27529,27529,27529,27529,27529,27529,,,,,,,,39264,40418,54632,54252,64076,,,,,,,,,,,,39264,,95050,54252,64076,,,,
Bulgaria,Operator Holding Account,BULGARIAN SUGAR COMPANY EOOD,Kameno,Burgas,,,,,,,,,4934,8908,0,0,0,0,0,0,,,,,,,,,16710,0,0,0,,,,,,,,,,,,,16710,,,,,,,
Bulgaria,Operator Holding Account,BULGARTRANSGAZ EAD,"str.Pancho Vladigerov,66",Sofia,,,,70367,75776,65304,65305,68088,56840,50867,45055,39421,33959,28674,23562,18639,,,74339,70367,49744,57379,71178,62966,70092,58444,56608,55183,,,,,,,,,120111,57379,71178,62966,70092,58444,56608,55183,,,,
Bulgaria,Operator Holding Account,BULGARTRANSGAZ EAD,"str.Pancho Vladigerov,66",Sofia,,,,5388,5492,4733,4733,4935,978,0,0,0,1169,987,811,642,,,4487,5388,3249,2655,18,631,23,40,89,1922,,,,,,,,,8637,2655,18,631,23,40,89,1922,,,,
Bulgaria,Operator Holding Account,BULGARTRANSGAZ EAD,str.Pancho Vladigerov.66,Sofia,,,,91471,111727,96287,96288,100391,73021,65349,57883,50644,43627,36839,30269,23946,,,109608,91471,52524,30596,72781,101668,96513,101301,74339,70253,,,,,,,,,143995,30596,72781,101668,96513,101301,74339,70253,,,,
Bulgaria,Operator Holding Account,BULGARTRANSGAZ EAD,"str.Pancho Vladigerov,66",Sofia,,,,7003,8250,7110,7110,7413,6124,5482,4855,4248,3660,3090,2540,2009,,,8094,7003,6656,3698,7682,4822,6596,6462,5814,6914,,,,,,,,,13659,3698,7682,4822,6596,6462,5814,6914,,,,
Bulgaria,Operator Holding Account,BULGARTRANSGAZ EAD,"str.Pancho Vladigerov,66",Sofia,,,,29696,30270,26087,26087,27199,20886,18692,16556,14485,12480,10537,8658,6849,,,29156,29696,10013,25744,27833,23794,33371,18155,20830,26473,,,,,,,,,39709,25744,27833,23794,33371,18155,20830,26473,,,,
Bulgaria,Operator Holding Account,BULGARTRANSGAZ EAD,"str.Pancho Vladigerov,66",Sofia,,,,78940,108744,93716,93717,97711,78129,69919,61931,27126,46679,39414,32386,25621,,,106682,78940,34709,28491,58968,64791,62274,60532,45754,69437,,,,,,,,,113649,28491,58968,64791,62274,60532,45754,69437,,,,
